"key","entrez_id","ensembl_gene_id","symbol","disease_id","disease_label","therapeutic_area","is_direct","genetic_association","somatic_mutation","known_drug","rna_expression","affected_pathway","animal_model","literature","tissue_label","source","max_fold_change","expression_score"
"ENSG00000110090-EFO_0001360",1374,"ENSG00000110090","CPT1A","EFO_0001360","type II diabetes mellitus","metabolic disease","True",0.0564233013,0.0395792052,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000184371-EFO_1001106",1435,"ENSG00000184371","CSF1","EFO_1001106","pigmented villonodular synovitis","neoplasm; skeletal system disease","True",0.0522064715533,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000119535-EFO_0000319",1441,"ENSG00000119535","CSF3R","EFO_0000319","cardiovascular disease",NA,"False",1.06142715375,0,0,1,0,0,0.216912094444,"Unspecified","Unspecified",0,0
"ENSG00000109861-HP_0002110",1075,"ENSG00000109861","CTSC","HP_0002110","Bronchiectasis","phenotype","True",0.014184,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000168036-EFO_0000198",1499,"ENSG00000168036","CTNNB1","EFO_0000198","myelodysplastic syndrome","hematological system disease; neoplasm","True",0.052116,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000164400-EFO_0002506",1437,"ENSG00000164400","CSF2","EFO_0002506","osteoarthritis","immune system disease; skeletal system disease","True",0.0699529778263,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000169245-EFO_0000729",3627,"ENSG00000169245","CXCL10","EFO_0000729","ulcerative colitis","immune system disease; digestive system disease","True",0.0486870976775,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000169429-EFO_1000760",3576,"ENSG00000169429","CXCL8","EFO_1000760","rosacea","skin disease","True",0.0202223333333,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000164400-EFO_0000764",1437,"ENSG00000164400","CSF2","EFO_0000764","HIV infection","infectious disease","True",0.118646249124,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000109861-EFO_0000341",1075,"ENSG00000109861","CTSC","EFO_0000341","chronic obstructive pulmonary disease","respiratory system disease","True",0.025482689175,0,0,0,0.0060147567,0,0,"Unspecified","Unspecified",0,0
"ENSG00000163599-EFO_0000685",1493,"ENSG00000163599","CTLA4","EFO_0000685","rheumatoid arthritis","immune system disease; skeletal system disease","True",0.871677111134,0.852151493076,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000006210-EFO_0004267",6376,"ENSG00000006210","CX3CL1","EFO_0004267","biliary liver cirrhosis","neoplasm; endocrine system disease; digestive system disease; liver disease","True",0.0500339566667,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000182578-EFO_0002430",1436,"ENSG00000182578","CSF1R","EFO_0002430","primary myelofibrosis","hematological system disease; neoplasm; skeletal system disease","True",0.1,0,0,0.1,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000107611-EFO_0005576",8029,"ENSG00000107611","CUBN","EFO_0005576","pernicious anemia","metabolic disease; cardiovascular disease","True",5.31676e-05,5.31676e-05,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000163599-EFO_0007160",1493,"ENSG00000163599","CTLA4","EFO_0007160","autoimmune thrombocytopenic purpura","immune system disease","True",0.0355428333333,0,0,0,0,0,0,"Whole Blood","GTExv6",5.03,0
"ENSG00000107562-EFO_0003144",6387,"ENSG00000107562","CXCL12","EFO_0003144","heart failure","cardiovascular disease","True",0.102351721275,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000203710-Orphanet_54370",1378,"ENSG00000203710","CR1","Orphanet_54370","Primary membranoproliferative glomerulonephritis","genetic disorder","True",0.043616,0,0,0,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000182578-EFO_0000198",1436,"ENSG00000182578","CSF1R","EFO_0000198","myelodysplastic syndrome","hematological system disease; neoplasm","True",0.829346670362,0,0.3420138889,0.736111111111,0,0,0,"Unspecified","Unspecified",0,0
"ENSG00000182578-EFO_0000685",1436,"ENSG00000182578","CSF1R","EFO_0000685","rheumatoid arthritis","immune system disease; skeletal system disease","True",0.259087051469,0,0,0.236111111111,0.000237623025,0,0,"Unspecified","Unspecified",0,0
